-0.13,-0.01,0.98,-7.49,-0.60,79.56
-0.13,-0.01,0.98,-7.41,-0.54,79.54
-0.13,-0.01,0.98,-7.39,-0.52,79.28
-0.13,-0.01,0.99,-7.28,-0.67,80.45
-0.13,-0.01,0.99,-7.32,-0.49,81.35
-0.12,-0.00,0.99,-7.10,-0.17,80.49
-0.03,0.02,0.99,-1.60,0.96,80.83
0.20,0.01,0.97,11.49,0.50,77.13
0.31,-0.00,0.95,17.82,-0.09,72.73
0.34,-0.03,0.92,20.16,-1.72,67.19
0.41,-0.03,0.92,24.19,-1.76,67.44
0.39,-0.03,0.91,23.22,-1.90,66.12
0.39,-0.03,0.90,22.88,-1.96,64.14
0.39,-0.04,0.90,22.77,-2.14,64.48
0.38,-0.04,0.90,22.31,-2.23,64.62
0.38,-0.04,0.90,22.53,-2.19,64.62
0.38,-0.04,0.91,22.59,-2.37,64.92
0.39,-0.04,0.90,23.22,-2.42,64.78
0.39,-0.04,0.91,22.72,-2.33,64.87
0.39,-0.04,0.90,22.88,-2.48,64.81
0.38,-0.04,0.89,22.58,-2.16,63.39
0.39,-0.04,0.91,22.70,-2.58,64.85
0.38,-0.04,0.91,22.62,-2.56,64.87
0.40,-0.04,0.91,23.33,-2.57,65.29
0.39,-0.05,0.91,22.89,-2.65,65.52
0.39,-0.05,0.90,23.04,-2.77,64.55
0.32,-0.04,0.93,18.83,-2.50,68.03
0.10,-0.03,0.95,5.57,-1.52,71.48
-0.09,0.01,0.99,-5.11,0.84,83.80
-0.12,-0.02,0.99,-6.88,-0.89,80.92
-0.13,-0.01,0.98,-7.32,-0.64,79.46
-0.13,-0.01,0.98,-7.29,-0.70,79.85
-0.13,-0.01,0.98,-7.32,-0.61,79.44
-0.13,-0.01,0.98,-7.32,-0.66,79.77
-0.13,-0.01,0.98,-7.21,-0.74,79.77
-0.13,-0.01,0.98,-7.23,-0.73,79.85
-0.13,-0.01,0.98,-7.25,-0.65,79.79
-0.13,-0.01,0.98,-7.25,-0.69,79.93
-0.13,-0.01,0.98,-7.22,-0.65,80.04
-0.13,-0.01,0.98,-7.25,-0.61,79.67
-0.13,-0.01,0.98,-7.25,-0.54,79.87
